CVE ID,Severity,Score,Image+Version,Distro,Package Name,Title,URL,Installed Version,Fixed Version,Description,Published Date,PURL
CVE-2026-3783,unknown,,20260410,jammy,curl,,https://ubuntu.com/security/CVE-2026-3783,7.81.0-1ubuntu1.23,7.81.0-1ubuntu1.24,,,pkg:deb/ubuntu/curl@7.81.0-1ubuntu1.23?distro=jammy
CVE-2026-3784,unknown,,20260410,jammy,curl,,https://ubuntu.com/security/CVE-2026-3784,7.81.0-1ubuntu1.23,7.81.0-1ubuntu1.24,,,pkg:deb/ubuntu/curl@7.81.0-1ubuntu1.23?distro=jammy
CVE-2026-6276,unknown,,20260410,jammy,curl,,https://ubuntu.com/security/CVE-2026-6276,7.81.0-1ubuntu1.23,7.81.0-1ubuntu1.24,,,pkg:deb/ubuntu/curl@7.81.0-1ubuntu1.23?distro=jammy
CVE-2026-41651,unknown,,20260410,jammy,gir1.2-packagekitglib-1.0,,https://ubuntu.com/security/CVE-2026-41651,1.2.5-2ubuntu3,1.2.5-2ubuntu3.1,,,pkg:deb/ubuntu/gir1.2-packagekitglib-1.0@1.2.5-2ubuntu3?distro=jammy
CVE-2026-5435,unknown,,20260410,jammy,libc-bin,,https://ubuntu.com/security/CVE-2026-5435,2.35-0ubuntu3.13,pending,,,pkg:deb/ubuntu/libc-bin@2.35-0ubuntu3.13?distro=jammy
CVE-2026-6238,unknown,,20260410,jammy,libc-bin,,https://ubuntu.com/security/CVE-2026-6238,2.35-0ubuntu3.13,pending,,,pkg:deb/ubuntu/libc-bin@2.35-0ubuntu3.13?distro=jammy
CVE-2026-5435,unknown,,20260410,jammy,libc6,,https://ubuntu.com/security/CVE-2026-5435,2.35-0ubuntu3.13,pending,,,pkg:deb/ubuntu/libc6@2.35-0ubuntu3.13?distro=jammy
CVE-2026-6238,unknown,,20260410,jammy,libc6,,https://ubuntu.com/security/CVE-2026-6238,2.35-0ubuntu3.13,pending,,,pkg:deb/ubuntu/libc6@2.35-0ubuntu3.13?distro=jammy
CVE-2026-3783,unknown,,20260410,jammy,libcurl4,,https://ubuntu.com/security/CVE-2026-3783,7.81.0-1ubuntu1.23,7.81.0-1ubuntu1.24,,,pkg:deb/ubuntu/libcurl4@7.81.0-1ubuntu1.23?distro=jammy
CVE-2026-3784,unknown,,20260410,jammy,libcurl4,,https://ubuntu.com/security/CVE-2026-3784,7.81.0-1ubuntu1.23,7.81.0-1ubuntu1.24,,,pkg:deb/ubuntu/libcurl4@7.81.0-1ubuntu1.23?distro=jammy
