CVE ID,Severity,Score,Image+Version,Distro,Package Name,Title,URL,Installed Version,Fixed Version,Description,Published Date,PURL
CVE-2026-5435,unknown,,20260519,jammy,libc-bin,,https://ubuntu.com/security/CVE-2026-5435,2.35-0ubuntu3.13,pending,,,pkg:deb/ubuntu/libc-bin@2.35-0ubuntu3.13?distro=jammy
CVE-2026-6238,unknown,,20260519,jammy,libc-bin,,https://ubuntu.com/security/CVE-2026-6238,2.35-0ubuntu3.13,pending,,,pkg:deb/ubuntu/libc-bin@2.35-0ubuntu3.13?distro=jammy
CVE-2026-5435,unknown,,20260519,jammy,libc6,,https://ubuntu.com/security/CVE-2026-5435,2.35-0ubuntu3.13,pending,,,pkg:deb/ubuntu/libc6@2.35-0ubuntu3.13?distro=jammy
CVE-2026-6238,unknown,,20260519,jammy,libc6,,https://ubuntu.com/security/CVE-2026-6238,2.35-0ubuntu3.13,pending,,,pkg:deb/ubuntu/libc6@2.35-0ubuntu3.13?distro=jammy
CVE-2026-6862,unknown,,20260519,jammy,libefiboot1,,https://ubuntu.com/security/CVE-2026-6862,37-6ubuntu2,pending,,,pkg:deb/ubuntu/libefiboot1@37-6ubuntu2?distro=jammy
CVE-2026-6862,unknown,,20260519,jammy,libefivar1,,https://ubuntu.com/security/CVE-2026-6862,37-6ubuntu2,pending,,,pkg:deb/ubuntu/libefivar1@37-6ubuntu2?distro=jammy
CVE-2026-34743,unknown,,20260519,jammy,liblzma5,,https://ubuntu.com/security/CVE-2026-34743,5.2.5-2ubuntu1,5.2.5-2ubuntu1.1,,,pkg:deb/ubuntu/liblzma5@5.2.5-2ubuntu1?distro=jammy
CVE-2026-29111,unknown,,20260519,jammy,libnss-systemd,,https://ubuntu.com/security/CVE-2026-29111,249.11-0ubuntu3.20,249.11-0ubuntu3.21,,,pkg:deb/ubuntu/libnss-systemd@249.11-0ubuntu3.20?distro=jammy
CVE-2026-40225,unknown,,20260519,jammy,libnss-systemd,,https://ubuntu.com/security/CVE-2026-40225,249.11-0ubuntu3.20,249.11-0ubuntu3.21,,,pkg:deb/ubuntu/libnss-systemd@249.11-0ubuntu3.20?distro=jammy
CVE-2026-40228,unknown,,20260519,jammy,libnss-systemd,,https://ubuntu.com/security/CVE-2026-40228,249.11-0ubuntu3.20,pending,,,pkg:deb/ubuntu/libnss-systemd@249.11-0ubuntu3.20?distro=jammy
CVE-2026-29111,unknown,,20260519,jammy,libpam-systemd,,https://ubuntu.com/security/CVE-2026-29111,249.11-0ubuntu3.20,249.11-0ubuntu3.21,,,pkg:deb/ubuntu/libpam-systemd@249.11-0ubuntu3.20?distro=jammy
CVE-2026-40225,unknown,,20260519,jammy,libpam-systemd,,https://ubuntu.com/security/CVE-2026-40225,249.11-0ubuntu3.20,249.11-0ubuntu3.21,,,pkg:deb/ubuntu/libpam-systemd@249.11-0ubuntu3.20?distro=jammy
CVE-2026-40228,unknown,,20260519,jammy,libpam-systemd,,https://ubuntu.com/security/CVE-2026-40228,249.11-0ubuntu3.20,pending,,,pkg:deb/ubuntu/libpam-systemd@249.11-0ubuntu3.20?distro=jammy
CVE-2026-45447,high,,20260519,jammy,libssl3,,https://ubuntu.com/security/CVE-2026-45447,3.0.2-0ubuntu1.23,3.0.2-0ubuntu1.25,,,pkg:deb/ubuntu/libssl3@3.0.2-0ubuntu1.23?distro=jammy
CVE-2026-29111,unknown,,20260519,jammy,libsystemd0,,https://ubuntu.com/security/CVE-2026-29111,249.11-0ubuntu3.20,249.11-0ubuntu3.21,,,pkg:deb/ubuntu/libsystemd0@249.11-0ubuntu3.20?distro=jammy
