CVE ID,Severity,Score,Image+Version,Distro,Package Name,Title,URL,Installed Version,Fixed Version,Description,Published Date,PURL
CVE-2026-0964,unknown,,20260312,jammy,libssh-4,,https://ubuntu.com/security/CVE-2026-0964,0.9.6-2ubuntu0.22.04.6,0.9.6-2ubuntu0.22.04.7,,,pkg:deb/ubuntu/libssh-4@0.9.6-2ubuntu0.22.04.6?distro=jammy
CVE-2026-0965,unknown,,20260312,jammy,libssh-4,,https://ubuntu.com/security/CVE-2026-0965,0.9.6-2ubuntu0.22.04.6,0.9.6-2ubuntu0.22.04.7,,,pkg:deb/ubuntu/libssh-4@0.9.6-2ubuntu0.22.04.6?distro=jammy
CVE-2026-0966,unknown,,20260312,jammy,libssh-4,,https://ubuntu.com/security/CVE-2026-0966,0.9.6-2ubuntu0.22.04.6,0.9.6-2ubuntu0.22.04.7,,,pkg:deb/ubuntu/libssh-4@0.9.6-2ubuntu0.22.04.6?distro=jammy
CVE-2026-0967,unknown,,20260312,jammy,libssh-4,,https://ubuntu.com/security/CVE-2026-0967,0.9.6-2ubuntu0.22.04.6,0.9.6-2ubuntu0.22.04.7,,,pkg:deb/ubuntu/libssh-4@0.9.6-2ubuntu0.22.04.6?distro=jammy
CVE-2026-0968,unknown,,20260312,jammy,libssh-4,,https://ubuntu.com/security/CVE-2026-0968,0.9.6-2ubuntu0.22.04.6,0.9.6-2ubuntu0.22.04.7,,,pkg:deb/ubuntu/libssh-4@0.9.6-2ubuntu0.22.04.6?distro=jammy
CVE-2026-23111,high,,20260312,jammy,linux-headers-6.8.0-106-generic,,https://ubuntu.com/security/CVE-2026-23111,6.8.0-106.106~22.04.1,pending,,,pkg:deb/ubuntu/linux-headers-6.8.0-106-generic@6.8.0-106.106~22.04.1?distro=jammy
CVE-2026-23112,high,,20260312,jammy,linux-headers-6.8.0-106-generic,,https://ubuntu.com/security/CVE-2026-23112,6.8.0-106.106~22.04.1,pending,,,pkg:deb/ubuntu/linux-headers-6.8.0-106-generic@6.8.0-106.106~22.04.1?distro=jammy
CVE-2026-23231,high,,20260312,jammy,linux-headers-6.8.0-106-generic,,https://ubuntu.com/security/CVE-2026-23231,6.8.0-106.106~22.04.1,pending,,,pkg:deb/ubuntu/linux-headers-6.8.0-106-generic@6.8.0-106.106~22.04.1?distro=jammy
CVE-2026-23268,high,,20260312,jammy,linux-headers-6.8.0-106-generic,,https://ubuntu.com/security/CVE-2026-23268,6.8.0-106.106~22.04.1,6.8.0-107.107~22.04.1,,,pkg:deb/ubuntu/linux-headers-6.8.0-106-generic@6.8.0-106.106~22.04.1?distro=jammy
CVE-2026-23410,high,,20260312,jammy,linux-headers-6.8.0-106-generic,,https://ubuntu.com/security/CVE-2026-23410,6.8.0-106.106~22.04.1,6.8.0-107.107~22.04.1,,,pkg:deb/ubuntu/linux-headers-6.8.0-106-generic@6.8.0-106.106~22.04.1?distro=jammy
