CVE ID,Severity,Score,Image+Version,Distro,Package Name,Title,URL,Installed Version,Fixed Version,Description,Published Date,PURL
CVE-2026-31589,high,,20260421,resolute,bpftool,,https://ubuntu.com/security/CVE-2026-31589,7.7.0+7.0.0-14.14,pending,,,pkg:deb/ubuntu/bpftool@7.7.0+7.0.0-14.14?distro=resolute
CVE-2026-31607,high,,20260421,resolute,bpftool,,https://ubuntu.com/security/CVE-2026-31607,7.7.0+7.0.0-14.14,pending,,,pkg:deb/ubuntu/bpftool@7.7.0+7.0.0-14.14?distro=resolute
CVE-2026-31608,critical,,20260421,resolute,bpftool,,https://ubuntu.com/security/CVE-2026-31608,7.7.0+7.0.0-14.14,pending,,,pkg:deb/ubuntu/bpftool@7.7.0+7.0.0-14.14?distro=resolute
CVE-2026-31705,high,,20260421,resolute,bpftool,,https://ubuntu.com/security/CVE-2026-31705,7.7.0+7.0.0-14.14,pending,,,pkg:deb/ubuntu/bpftool@7.7.0+7.0.0-14.14?distro=resolute
CVE-2026-31718,high,,20260421,resolute,bpftool,,https://ubuntu.com/security/CVE-2026-31718,7.7.0+7.0.0-14.14,pending,,,pkg:deb/ubuntu/bpftool@7.7.0+7.0.0-14.14?distro=resolute
CVE-2026-43284,high,,20260421,resolute,bpftool,,https://ubuntu.com/security/CVE-2026-43284,7.7.0+7.0.0-14.14,7.7.0+7.0.0-22.22,,,pkg:deb/ubuntu/bpftool@7.7.0+7.0.0-14.14?distro=resolute
CVE-2026-43493,high,,20260421,resolute,bpftool,,https://ubuntu.com/security/CVE-2026-43493,7.7.0+7.0.0-14.14,pending,,,pkg:deb/ubuntu/bpftool@7.7.0+7.0.0-14.14?distro=resolute
CVE-2026-43500,high,,20260421,resolute,bpftool,,https://ubuntu.com/security/CVE-2026-43500,7.7.0+7.0.0-14.14,7.7.0+7.0.0-22.22,,,pkg:deb/ubuntu/bpftool@7.7.0+7.0.0-14.14?distro=resolute
CVE-2026-43501,critical,,20260421,resolute,bpftool,,https://ubuntu.com/security/CVE-2026-43501,7.7.0+7.0.0-14.14,pending,,,pkg:deb/ubuntu/bpftool@7.7.0+7.0.0-14.14?distro=resolute
CVE-2026-45988,critical,,20260421,resolute,bpftool,,https://ubuntu.com/security/CVE-2026-45988,7.7.0+7.0.0-14.14,pending,,,pkg:deb/ubuntu/bpftool@7.7.0+7.0.0-14.14?distro=resolute
CVE-2026-46039,high,,20260421,resolute,bpftool,,https://ubuntu.com/security/CVE-2026-46039,7.7.0+7.0.0-14.14,pending,,,pkg:deb/ubuntu/bpftool@7.7.0+7.0.0-14.14?distro=resolute
