CVE ID,Severity,Score,Image+Version,Distro,Package Name,Title,URL,Installed Version,Fixed Version,Description,Published Date,PURL
CVE-2026-5435,unknown,,20260519,noble,libc-bin,,https://ubuntu.com/security/CVE-2026-5435,2.39-0ubuntu8.7,pending,,,pkg:deb/ubuntu/libc-bin@2.39-0ubuntu8.7?distro=noble
CVE-2026-6238,unknown,,20260519,noble,libc-bin,,https://ubuntu.com/security/CVE-2026-6238,2.39-0ubuntu8.7,pending,,,pkg:deb/ubuntu/libc-bin@2.39-0ubuntu8.7?distro=noble
CVE-2026-5435,unknown,,20260519,noble,libc6,,https://ubuntu.com/security/CVE-2026-5435,2.39-0ubuntu8.7,pending,,,pkg:deb/ubuntu/libc6@2.39-0ubuntu8.7?distro=noble
CVE-2026-6238,unknown,,20260519,noble,libc6,,https://ubuntu.com/security/CVE-2026-6238,2.39-0ubuntu8.7,pending,,,pkg:deb/ubuntu/libc6@2.39-0ubuntu8.7?distro=noble
CVE-2026-12216,unknown,,20260519,noble,libduktape207,,https://ubuntu.com/security/CVE-2026-12216,2.7.0+tests-0ubuntu3,pending,,,pkg:deb/ubuntu/libduktape207@2.7.0+tests-0ubuntu3?distro=noble
CVE-2026-6862,unknown,,20260519,noble,libefiboot1t64,,https://ubuntu.com/security/CVE-2026-6862,38-3.1build1,pending,,,pkg:deb/ubuntu/libefiboot1t64@38-3.1build1?distro=noble
CVE-2026-6862,unknown,,20260519,noble,libefivar1t64,,https://ubuntu.com/security/CVE-2026-6862,38-3.1build1,pending,,,pkg:deb/ubuntu/libefivar1t64@38-3.1build1?distro=noble
CVE-2026-5419,unknown,,20260519,noble,libgnutls30t64,,https://ubuntu.com/security/CVE-2026-5419,3.8.3-1.1ubuntu3.5,3.8.3-1.1ubuntu3.6,,,pkg:deb/ubuntu/libgnutls30t64@3.8.3-1.1ubuntu3.5?distro=noble
CVE-2026-34743,unknown,,20260519,noble,liblzma5,,https://ubuntu.com/security/CVE-2026-34743,5.6.1+really5.4.5-1ubuntu0.2,5.6.1+really5.4.5-1ubuntu0.3,,,pkg:deb/ubuntu/liblzma5@5.6.1+really5.4.5-1ubuntu0.2?distro=noble
CVE-2026-29111,unknown,,20260519,noble,libpam-systemd,,https://ubuntu.com/security/CVE-2026-29111,255.4-1ubuntu8.15,255.4-1ubuntu8.16,,,pkg:deb/ubuntu/libpam-systemd@255.4-1ubuntu8.15?distro=noble
